copy_id,sku,product_name,tier,copy_format,tone,channel,headline,body_copy,cta,word_count,char_count,ab_variant,click_through_rate_pct,conversion_rate_pct,engagement_score,approved,reviewed_by
COPY-0090,EP-500,ErgoPro 500,Mid,short_description,authoritative,organic_search,Built for the long haul,"Experience all-day comfort with the ErgoPro 500. Featuring memory foam seat and breathable fabric, this chair is engineered for professionals who demand the best. Adjustable from 16 to 21 inches.",Buy Today,30,195,A,1.17,2.37,3.02,Yes,James O.
COPY-0091,EP-500,ErgoPro 500,Mid,email_subject,professional,paid_search,Built for the long haul,"Experience all-day comfort with the ErgoPro 500. Featuring forward tilt and aluminum base, this chair is engineered for professionals who demand the best. Adjustable from 18 to 22 inches.",Shop Now,29,187,C,2.28,3.28,7.83,Pending,Lin C.
COPY-0092,EP-900,ErgoPro 900,Premium,ad_headline,technical,paid_search,Designed by ergonomists,"Experience all-day comfort with the ErgoPro 900. Featuring breathable fabric and headrest, this chair is engineered for professionals who demand the best. Adjustable from 16 to 22 inches.",Get Yours,28,187,B,0.94,0.69,0.7,Yes,Marcus T.
COPY-0093,EP-500,ErgoPro 500,Mid,banner_copy,professional,email,The last chair you'll ever buy,"Experience all-day comfort with the ErgoPro 500. Featuring forward tilt and mesh backrest, this chair is engineered for professionals who demand the best. Adjustable from 16 to 20 inches.",Learn More,29,187,C,2.02,1.91,4.12,Yes,Marcus T.
COPY-0094,EP-200,ErgoPro 200,Entry,short_description,casual,social,The last chair you'll ever buy,"Experience all-day comfort with the ErgoPro 200. Featuring forward tilt and breathable fabric, this chair is engineered for professionals who demand the best. Adjustable from 17 to 22 inches.",Shop Now,29,191,C,2.55,2.09,5.83,No,Priya N.
COPY-0095,EP-500,ErgoPro 500,Mid,product_title,casual,direct,Designed by ergonomists,"Experience all-day comfort with the ErgoPro 500. Featuring ergonomic lumbar and adjustable armrests, this chair is engineered for professionals who demand the best. Adjustable from 17 to 21 inches.",See Details,29,197,C,5.27,0.56,2.41,No,Lin C.
COPY-0096,EP-900,ErgoPro 900,Premium,product_title,aspirational,social,Built for the long haul,"Experience all-day comfort with the ErgoPro 900. Featuring headrest and seat depth adjustment, this chair is engineered for professionals who demand the best. Adjustable from 17 to 21 inches.",See Details,29,191,B,5.58,3.26,19.01,Yes,Lin C.
COPY-0097,EP-200,ErgoPro 200,Entry,banner_copy,friendly,affiliate,Designed by ergonomists,"Experience all-day comfort with the ErgoPro 200. Featuring memory foam seat and forward tilt, this chair is engineered for professionals who demand the best. Adjustable from 16 to 22 inches.",Learn More,30,190,B,3.5,1.07,3.62,No,Sarah K.
COPY-0098,EP-200,ErgoPro 200,Entry,banner_copy,authoritative,affiliate,Built for the long haul,"Experience all-day comfort with the ErgoPro 200. Featuring breathable fabric and aluminum base, this chair is engineered for professionals who demand the best. Adjustable from 16 to 21 inches.",Shop Now,29,192,A,1.29,1.6,1.75,No,Priya N.
COPY-0099,EP-200,ErgoPro 200,Entry,social_caption,casual,email,Feel the difference from day one,"Experience all-day comfort with the ErgoPro 200. Featuring aluminum base and ergonomic lumbar, this chair is engineered for professionals who demand the best. Adjustable from 18 to 20 inches.",Learn More,29,191,A,2.84,1.81,5.9,Yes,Sarah K.
COPY-0100,EP-500,ErgoPro 500,Mid,email_subject,casual,paid_search,"Work smarter, sit better","Experience all-day comfort with the ErgoPro 500. Featuring seat depth adjustment and aluminum base, this chair is engineered for professionals who demand the best. Adjustable from 17 to 21 inches.",Get Yours,30,196,B,4.18,0.83,2.79,No,James O.
